rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
299,5,life,drna,4,0.41,1.0656,0.8173
300,5,jnce,espr,4,0.57,0.8904,0.8901
301,5,sndx,kpti,4,0.63,1.134,0.8735
302,18,mdr,crzo,4,5.02,0.5101,0.5835
303,29,pbct,sti,4,10.57,1.0161,0.8382
304,26,mfc,cbg,4,29.79,0.5798,0.3996
305,22,tlra,merc,4,,2.1716,0.9958
306,22,merc,ttnp,4,,0.4356,0.9873
307,5,sndx,life,3,0.97,0.2667,0.855
308,5,sndx,mlnt,3,1.0,0.1746,0.7362
309,5,sndx,jnce,3,1.02,0.6028,0.8842
310,5,mlnt,jnce,3,2.28,1.2494,0.7259
311,18,sn,mur,3,4.12,1.3971,0.5935
312,18,mdr,mur,3,5.3,1.0595,0.5401
313,18,sn,crzo,3,5.34,0.5907,0.6854
314,2,vsh,cvg,3,14.53,1.1371,0.408
315,12,itw,dvmt,3,25.61,0.3279,0.3649
316,29,pbct,nycb,3,32.88,0.9404,0.8208
317,5,kpti,drna,3,36.65,0.2418,0.8082
318,6,dvn,apa,3,90.5,0.8624,0.6687
319,5,chma,life,3,,0.1946,0.9281
320,5,chma,drna,3,,0.3166,0.825
321,5,mlnt,espr,3,,1.7151,0.7278
322,22,tlra,ttnp,3,,0.9486,0.9915
323,22,belfa,ttnp,3,,0.7569,0.9904
324,22,belfa,yin,2,0.39,1.3655,0.9905
325,22,lci,yin,2,0.39,1.1506,0.9898
326,22,tlra,yin,2,0.43,1.6878,0.9905
327,22,merc,yin,2,0.44,0.7734,0.9956
328,22,sdt,yin,2,0.45,0.0766,0.9823
329,5,kpti,espr,2,0.97,0.4513,0.8187
330,5,chma,mlnt,2,1.46,0.4932,0.8541
331,5,chma,espr,2,1.49,0.9295,0.7333
332,5,sndx,espr,2,2.05,0.4746,0.8737
333,13,rlog,hos,2,,-3.9921,1.0
334,13,rlog,args,2,,-2.8788,1.0
335,13,rlog,mbii,2,,-2.2415,1.0
336,13,hos,args,2,,0.6869,1.0
337,13,hos,mbii,2,,0.4413,1.0
338,13,cgg,args,2,,2.2673,1.0
339,13,cgg,mbii,2,,1.4226,1.0
340,13,idsa,args,2,,0.0901,1.0
341,13,idsa,mbii,2,,0.0005,1.0
342,13,pkd,args,2,,3.9278,1.0
343,13,pkd,mbii,2,,2.4755,1.0
344,13,args,mbii,2,,0.6464,1.0
345,13,cur,mbii,2,,0.3128,1.0
346,22,lci,ttnp,2,,0.661,0.972
347,22,yin,ttnp,1,0.42,0.5296,0.9699
348,22,merc,lci,1,0.45,0.6307,0.9858
349,13,rlog,idsa,1,0.52,5.5823,1.0
350,13,hos,idsa,1,0.52,0.2444,1.0
351,13,cgg,idsa,1,0.52,1.3836,1.0
352,22,tlra,belfa,1,0.6,1.2511,0.9999
353,22,sdt,ttnp,1,0.64,0.0495,0.9977
354,22,tlra,lci,1,0.65,1.3764,0.9938
355,22,sdt,lci,1,0.65,0.0788,0.9855
356,22,zfgn,ttnp,1,0.65,0.1172,0.9888
357,22,sdt,merc,1,0.73,0.1167,0.9935
358,22,belfa,lci,1,0.82,1.0868,0.9949
359,5,jnce,drna,1,1.08,0.4641,0.9036
